cs_year,date_occur,crime,description,ileads_address,ileads_street,x_coord,y_coord
2013,01/02/2013 16:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2524,HAMPTON AVE,881070,1011909
2013,01/02/2013 16:40,151110,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5601,HIGHLAND AVE,885148.3,1034585
2013,01/02/2013 18:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,MANCHESTER AVE / S T,888330.1,1016968
2013,01/02/2013 19:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,8450,GAST PL,896704.1,1049972
2013,01/02/2013 19:43,182400,DRUGS-POSSESSION/MARIJUANA,4217,N GRAND BLVD,902185.9,1031928
2013,01/02/2013 19:49,182400,DRUGS-POSSESSION/MARIJUANA,2,CHAMBERS ST,910400.6,1025032
2013,01/02/2013 19:55,182400,DRUGS-POSSESSION/MARIJUANA,3500,COOK AVE,898200.7,1023629
2013,01/02/2013 20:55,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3935,S GRAND BLVD,893003.8,1001995
2013,01/02/2013 21:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4936,KEMPER AVE,885667.3,1008694
2013,01/02/2013 21:45,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3618,CALIFORNIA AVE,897217.5,1003631
2013,01/02/2013 22:15,182250,DRUGS-POSSESSION/COCAINE,2402,N JEFFERSON AVE,902287.1,1025545
2013,01/03/2013 00:01,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1919,S GRAND BLVD,894398.1,1012718
2013,01/03/2013 00:01,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4329,NORFOLK AVE,889431.2,1016621
2013,01/03/2013 01:09,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,HEBERT ST / RAUSCHEN,904949.6,1027544
2013,01/03/2013 09:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5201,VERMONT AVE,892853.9,995867.9
2013,01/03/2013 11:04,183130,DRUGS-SALE/HEROIN,1300,CONVENTION PZ,906779.9,1019635
2013,01/03/2013 12:25,183130,DRUGS-SALE/HEROIN,1400,N 14TH ST,906882.8,1022215
2013,01/03/2013 12:29,151110,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,7450,HAMPTON AVE,879164.2,994830.9
2013,01/03/2013 13:47,182130,DRUGS-POSSESSION/HEROIN,4226,E MAFFITT AVE,895915.3,1029474
2013,01/03/2013 13:51,182130,DRUGS-POSSESSION/HEROIN,4900,THEODORE AVE,894302.8,1038766
2013,01/03/2013 14:15,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1341,N KINGSHIGHWAY BLVD,888196.6,1029551
2013,01/03/2013 14:47,181370,DRUGS-MANUFACTURE/PHENCYCLIDINE,5601,HIGHLAND AVE,885148.3,1034585
2013,01/03/2013 14:55,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3921,N NEWSTEAD AVE,895633.1,1033528
2013,01/03/2013 15:14,182130,DRUGS-POSSESSION/HEROIN,10023,RIVERVIEW DR,906154.6,1060501
2013,01/03/2013 15:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4509,CHOUTEAU AVE,888457.9,1018651
2013,01/03/2013 15:50,182250,DRUGS-POSSESSION/COCAINE,4908,SUBURBAN TRACKS,888452.4,1027069
2013,01/03/2013 16:22,182999,DRUGS-POSSESSION/OTHR UNSPEC DRUG,2921,N NEWSTEAD AVE,894344.9,1031037
2013,01/03/2013 17:10,182130,DRUGS-POSSESSION/HEROIN,4736,BESSIE CT,894256.6,1036283
2013,01/03/2013 18:40,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4415,NATURAL BRIDGE AVE,895362.3,1033087
2013,01/03/2013 18:55,151130,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,2725,DR MARTIN LUTHER KIN,901756.3,1021485
2013,01/03/2013 18:55,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4649,LEDUC ST,891166.3,1030251
2013,01/03/2013 20:40,182999,DRUGS-POSSESSION/OTHR UNSPEC DRUG,5758,COTE BRILLIANTE AVE,883518.3,1034055
2013,01/03/2013 20:45,182400,DRUGS-POSSESSION/MARIJUANA,4014,UNION,882771.8,1032097
2013,01/03/2013 21:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4374,LEE AVE,896541.4,1034353
2013,01/03/2013 22:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3421,ILLINOIS AVE,899522.3,1004611
2013,01/03/2013 22:50,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5602,LOTUS AVE,884773.8,1033853
2013,01/03/2013 23:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4947,W FLORISSANT AVE,896017.8,1039954
2013,01/04/2013 01:02,182130,DRUGS-POSSESSION/HEROIN,5700,DR MARTIN LUTHER KIN,883592.9,1033260
2013,01/04/2013 04:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1800,ARSENAL ST,901310.6,1006344
2013,01/04/2013 09:00,182400,DRUGS-POSSESSION/MARIJUANA,5724,SAINT LOUIS AVE,885149.5,1036246
2013,01/04/2013 09:30,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,720,OLIVE ST,908135.8,1017699
2013,01/04/2013 11:04,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3421,ILLINOIS AVE,899522.3,1004611
2013,01/04/2013 11:35,151110,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,819,GUSTAV AVE,897410.3,1052718
2013,01/04/2013 13:00,182250,DRUGS-POSSESSION/COCAINE,316,LAUREL ST,880319.4,1025387
2013,01/04/2013 13:20,183400,DRUGS-SALE/MARIJUANA,2740,CHARITON ST,896636.3,999213.2
2013,01/04/2013 14:49,182400,DRUGS-POSSESSION/MARIJUANA,3855,ASHLAND AVE,899168.9,1029859
2013,01/04/2013 15:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6044,THEKLA AVE,889685.7,1045386
2013,01/04/2013 15:33,181260,DRUGS-MANUFACTURE/METHAMPHETAMINE,3100,PROVIDENCE PL,895127.5,999767.2
2013,01/04/2013 16:03,182130,DRUGS-POSSESSION/HEROIN,4656,SHIRLEY PL,896068.6,1037208
2013,01/04/2013 18:10,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5528,S GRAND BLVD,890650.3,996086.8
2013,01/04/2013 19:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3860,BAMBERGER AVE,891767.9,1002713
2013,01/04/2013 19:55,182400,DRUGS-POSSESSION/MARIJUANA,2713,JAMES COOL PAPA BELL,901710,1023181
2013,01/04/2013 21:02,182250,DRUGS-POSSESSION/COCAINE,8402,CHURCH RD,896496.1,1048815
2013,01/04/2013 21:15,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5099,ARSENAL ST,884304.7,1009555
2013,01/04/2013 21:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3325,LIBERTY ST,893177.4,997039.8
2013,01/04/2013 21:46,182400,DRUGS-POSSESSION/MARIJUANA,4314,N GRAND BLVD,902522.3,1032298
2013,01/04/2013 22:18,182260,DRUGS-POSSESSION/METHAMPHETAMINE,5545,DR MARTIN LUTHER KIN,884597.1,1032653
2013,01/04/2013 22:20,182260,DRUGS-POSSESSION/METHAMPHETAMINE,3116,PROVIDENCE PL,894971.9,999791.9
2013,01/04/2013 23:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1921,N 13TH ST,907898.3,1023819
2013,01/05/2013 00:10,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,212,N KINGSHIGHWAY BLVD,887710.9,1023513
2013,01/05/2013 03:35,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2920,MILTON BLVD,897334.5,1010771
2013,01/05/2013 04:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1948,SENATE ST,900946.7,1008339
2013,01/05/2013 04:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5540,GENEVIEVE AVE,893251.8,1043658
2013,01/05/2013 04:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4627,IDAHO AVE,893357.4,997947.1
2013,01/05/2013 05:16,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3530,WINNEBAGO ST,893729.5,1003841
2013,01/05/2013 08:12,182400,DRUGS-POSSESSION/MARIJUANA,1845,CASS AVE,905404.3,1023019
2013,01/05/2013 09:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3453,PENNSYLVANIA AVE,896210.4,1004789
2013,01/05/2013 10:18,151110,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,3805,S KINGSHIGHWAY BLVD,885036.1,1004585
2013,01/05/2013 10:40,182400,DRUGS-POSSESSION/MARIJUANA,5546,DUGAN AVE,882418.4,1012204
2013,01/05/2013 13:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1928,SEMPLE AVE,886015.4,1033150
2013,01/05/2013 13:32,182130,DRUGS-POSSESSION/HEROIN,7400,MINNESOTA AVE,889411.9,989161.9
2013,01/05/2013 13:35,182130,DRUGS-POSSESSION/HEROIN,8360,N BROADWAY,897599.8,1048898
2013,01/05/2013 14:55,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4914,GRAVOIS AVE,886801.5,1000455
2013,01/05/2013 15:27,182250,DRUGS-POSSESSION/COCAINE,1651,PINE ST,904798.4,1018521
2013,01/05/2013 17:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3751,KOSCIUSKO ST,900357.3,1002144
2013,01/05/2013 17:39,182130,DRUGS-POSSESSION/HEROIN,0,N 9TH ST / SALISBURY,906804.3,1030078
2013,01/05/2013 18:20,182260,DRUGS-POSSESSION/METHAMPHETAMINE,300,S JEFFERSON AVE,901180.5,1017627
