cs_year,date_occur,crime,description,ileads_address,ileads_street,x_coord,y_coord
2013,01/04/2013 01:45,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4315,CALIFORNIA AVE,896533.4,999390.5
2013,01/04/2013 01:45,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4315,CALIFORNIA AVE,896533.4,999390.5
2013,01/04/2013 01:45,43012,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,3545,LAFAYETTE AVE,895070.9,1013761
2013,01/04/2013 04:00,43015,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,3151,HALLIDAY AVE,896057.1,1009153
2013,01/04/2013 04:17,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1417,E GRAND BLVD,904110.8,1033729
2013,01/04/2013 07:50,42014,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,919,NEW HAVEN CT,908759.4,1021921
2013,01/04/2013 09:00,21000,RAPE -- FORCIBLE,1000,LASALLE PARK CT,905646.5,1013683
2013,01/04/2013 10:41,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1124,RIVERVIEW BLVD,895308.4,1051995
2013,01/04/2013 11:50,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2900,N EUCLID AVE,890935.1,1033012
2013,01/04/2013 16:00,42012,AGG.ASSAULT-KNIFE/CITIZEN ADULT 2ND DEGREE,9000,HALLS FERRY RD,894598.1,1051729
2013,01/04/2013 18:10,43012,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,3918,PAGE BLVD,895958.6,1025207
2013,01/04/2013 18:30,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5410,THEKLA AVE,892817.4,1042019
2013,01/04/2013 20:50,43011,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE,4173,SCHILLER PL,886952.5,999202.8
2013,01/04/2013 22:30,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3340,IOWA AVE,897827.1,1005335
2013,01/05/2013 01:00,21000,RAPE -- FORCIBLE,4500,MARGARETTA AVE,895045,1034219
2013,01/05/2013 02:00,21000,RAPE -- FORCIBLE,200,N 9TH ST,907701.2,1017745
2013,01/05/2013 03:00,21000,RAPE -- FORCIBLE,5900,GOODFELLOW BLVD,890499.1,1049100
2013,01/05/2013 03:15,34111,ROBBERY-CONVEN STOR/FIREARM USED/SUCCESS,6900,GRAVOIS AVE,881785.8,996419.9
2013,01/05/2013 03:16,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3140,OLIVE ST,898657.9,1020260
2013,01/05/2013 05:20,32111,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,3802,S UTAH PL,892460.6,1006393
2013,01/05/2013 06:00,44016,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,315,CHESTNUT ST,909422.4,1016993
2013,01/05/2013 06:00,32421,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS,6003,LUCILLE AVE,890305.4,1045620
2013,01/05/2013 06:48,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,2524,HAMPTON AVE,881070,1011909
2013,01/05/2013 10:30,21000,RAPE -- FORCIBLE,2000,MULLANPHY ST,904418,1023644
2013,01/05/2013 16:25,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,1316,WALTON AVE,889815.9,1028856
2013,01/05/2013 19:00,43016,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,4837,MARGARETTA AVE,892942.4,1035396
2013,01/05/2013 23:30,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4775,TERRACE AVE,883617.5,999497.5
2013,01/05/2013 23:30,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4775,TERRACE AVE,883617.5,999497.5
2013,01/05/2013 23:40,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5162,DR MARTIN LUTHER KIN,886732.3,1031050
2013,01/06/2013 01:30,44013,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",1900,LOCUST ST,903882.1,1019249
2013,01/06/2013 04:15,34111,ROBBERY-CONVEN STOR/FIREARM USED/SUCCESS,5604,GRAVOIS AVE,885345.8,999210.5
2013,01/06/2013 19:00,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,3636,OREGON AVE,896873.8,1003557
2013,01/06/2013 20:37,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4265,CLEVELAND AVE,889715.7,1011875
2013,01/06/2013 22:50,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,500,N LEFFINGWELL AVE,900762,1020171
2013,01/06/2013 23:15,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,600,N 6TH ST,908954.9,1018433
2013,01/06/2013 23:20,31112,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,0,WASHINGTON AVE / N T,906851.2,1019079
2013,01/06/2013 23:20,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4229,RUSSELL AVE,890225.8,1012897
2013,01/06/2013 23:20,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,0,N 8TH ST / WASHINGTO,908309.3,1018628
2013,01/06/2013 23:55,31112,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,2831,CHEROKEE ST,897002.4,1005341
2013,01/07/2013 01:20,43203,AGG.ASSAULT-OTH DANG WEP/POL OFFC 3RD DEGREE,4700,NATURAL BRIDGE AVE,893113.4,1033986
2013,01/07/2013 11:00,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1200,N MARKET ST,907707.6,1025329
2013,01/07/2013 12:30,36421,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS,920,LOUGHBOROUGH AVE,888786.2,991822
2013,01/07/2013 12:40,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,0,TOWER GROVE AVE / VI,889841.7,1016293
2013,01/07/2013 13:20,44015,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,3629,PHILLIPS PL,892941.7,1003649
2013,01/07/2013 16:23,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,901,WASHINGTON AVE,907958,1018887
2013,01/07/2013 16:33,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,511,OLIVE ST,908906.9,1017705
2013,01/07/2013 16:40,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3951,COOK AVE,895548.7,1025190
2013,01/07/2013 17:00,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,0,JORDAN AVE / GUSTAV,897106,1052593
2013,01/07/2013 17:40,31112,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,5715,WILSON AVE,882266.7,1013630
2013,01/07/2013 18:05,31422,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT,1600,ST CHARLES ST,905165.6,1019293
2013,01/07/2013 19:04,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5760,THEODOSIA AVE,883355.6,1033841
2013,01/07/2013 19:15,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1015,N GRAND BLVD,897455.2,1023004
2013,01/07/2013 19:43,36112,ROBBERY-COMMERCE PL/FIREARM USED/ATTEMPT,4600,CHIPPEWA ST,885747.1,1003901
2013,01/07/2013 20:15,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3675,ALBERTA ST,892315.9,1002260
2013,01/07/2013 21:04,41201,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE,5500,HARNEY AVE,893210.5,1042965
2013,01/08/2013 03:30,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4008,BOTANICAL AVE,891832.6,1010782
2013,01/08/2013 13:00,10000,HOMICIDE,4452,ELMBANK AVE,894307.6,1031929
2013,01/08/2013 18:00,43015,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,3842,LABADIE AVE,898643.2,1028716
2013,01/08/2013 18:35,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,327,N TAYLOR AVE,889423.9,1023738
2013,01/08/2013 19:14,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1246,BLUMEYER ST,898530.9,1023733
2013,01/08/2013 19:14,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1246,BLUMEYER ST,898530.9,1023733
2013,01/08/2013 21:03,43016,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,4453,WILCOX AVE,885397.9,1000854
2013,01/08/2013 23:00,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,6701,CLAYTON AVE,876924.4,1018711
2013,01/08/2013 23:15,32111,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,3021,IOWA AVE,897994.8,1007595
2013,01/08/2013 23:57,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4849,DR MARTIN LUTHER KIN,889522.6,1029937
2013,01/09/2013 00:01,21000,RAPE -- FORCIBLE,1900,E GRAND BLVD,903609.4,1033103
2013,01/09/2013 01:45,44013,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",4248,COTTAGE AVE,894865.7,1029224
2013,01/09/2013 02:50,34421,ROBBERY-CONVEN STOR/STRNGARM/NO INJ/SUCCESS,5590,W FLORISSANT AVE,893144.3,1044000
2013,01/09/2013 11:30,41016,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,3635,BAMBERGER AVE,891755.6,1003995
2013,01/09/2013 13:36,23000,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,5800,WESTMINSTER PL,880374.2,1026544
2013,01/09/2013 14:45,44015,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,3826,KEOKUK ST,891347,1002555
2013,01/09/2013 15:20,44023,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN CHLD 3RD DEGRE",0,W NATURAL BRIDGE AVE,896329.3,1032356
2013,01/09/2013 15:25,43023,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,0,ANDERSON AVE / DRYDE,895672.1,1035982
2013,01/09/2013 15:25,43023,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,0,ANDERSON AVE / DRYDE,895672.1,1035982
2013,01/09/2013 15:25,43023,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,0,ANDERSON AVE / DRYDE,895672.1,1035982
2013,01/09/2013 15:25,43023,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,0,ANDERSON AVE / DRYDE,895672.1,1035982
2013,01/09/2013 15:25,43023,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,0,ANDERSON AVE / DRYDE,895672.1,1035982
2013,01/09/2013 15:25,43023,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,0,ANDERSON AVE / DRYDE,895672.1,1035982
2013,01/09/2013 19:05,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,1317,MARCUS AVE,890134.4,1028802
2013,01/09/2013 19:05,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1317,MARCUS AVE,890134.4,1028802
2013,01/09/2013 19:05,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1317,MARCUS AVE,890134.4,1028802
2013,01/09/2013 19:05,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,1317,MARCUS AVE,890134.4,1028802
2013,01/09/2013 19:30,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,825,GUSTAV AVE,897410.3,1052718
2013,01/09/2013 19:30,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,825,GUSTAV AVE,897410.3,1052718
2013,01/09/2013 20:00,44012,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 2ND DEGRE",2010,E JOHN AVE,903042.8,1033644
2013,01/09/2013 22:00,41014,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,4423,NEBRASKA AVE,895545.1,998518.9
2013,01/10/2013 04:00,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5500,LILLIAN AVE,891094.1,1041484
2013,01/10/2013 06:45,31112,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,4461,SAN FRANCISCO AVE,895194.2,1033644
2013,01/10/2013 07:40,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4265,ATHLONE AVE,897803.3,1034677
2013,01/10/2013 07:40,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4265,ATHLONE AVE,897803.3,1034677
2013,01/10/2013 08:15,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,1210,AUBERT AVE,888515,1028684
2013,01/10/2013 11:25,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5010,VIRGINIA AVE,893335.8,996344.2
2013,01/10/2013 11:25,42013,AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE,5010,VIRGINIA AVE,893335.8,996344.2
2013,01/10/2013 11:25,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5010,VIRGINIA AVE,893335.8,996344.2
2013,01/10/2013 12:42,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,6015,HORTON PL,879577.6,1030269
2013,01/10/2013 12:42,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,6015,HORTON PL,879577.6,1030269
2013,01/10/2013 13:21,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1220,WARREN ST,907350.3,1025616
2013,01/10/2013 13:55,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,8932,EDNA ST,895532.6,1051191
2013,01/10/2013 13:55,41016,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,1520,SALISBURY ST,905624.3,1029468
2013,01/10/2013 15:22,43016,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,4200,SHAW AVE,890554.4,1013293
2013,01/10/2013 15:22,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,4200,SHAW AVE,890554.4,1013293
2013,01/10/2013 15:35,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,8120,N BROADWAY,897247,1047863
2013,01/10/2013 16:00,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,0,N 20TH ST / CASS AVE,904363.3,1023304
2013,01/10/2013 16:30,43025,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,5010,VIRGINIA AVE,893335.8,996344.2
2013,01/10/2013 17:45,31211,ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL,3441,GRAVOIS AVE,894399.4,1005686
2013,01/10/2013 19:40,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2500,MULLANPHY ST,902498.6,1024046
2013,01/10/2013 21:55,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3859,IOWA AVE,897094.5,1001938
2013,01/10/2013 22:48,31112,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,1200,ANN AVE,903144,1010006
2013,01/10/2013 23:20,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3343,VIRGINIA AVE,895023.4,1005745
2013,01/10/2013 23:39,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3159,GUSTINE AVE,891645.1,1008088
2013,1/11/2013 0:01,43022,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 2ND DEGREE,5475,CABANNE AVE,883631.8,1028675
2013,01/11/2013 00:10,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4428,NEOSHO ST,886006.5,1002139
2013,01/11/2013 02:12,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,6225,GRAVOIS AVE,883410.4,998341
2013,01/11/2013 03:15,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,6405,ARSENAL ST,878400.2,1010283
2013,01/11/2013 03:15,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,6405,ARSENAL ST,878400.2,1010283
2013,01/11/2013 03:15,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,6405,ARSENAL ST,878400.2,1010283
2013,01/11/2013 09:11,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,6109,S GRAND BLVD,889624.4,994653.2
2013,01/11/2013 09:23,32112,ROBBERY-RESIDENCE   /FIREARM USED/ATTEMPT,2115,ALLEN AVE,900895.3,1011557
2013,01/11/2013 13:56,41015,ASSLT-AGGRAV-FIREARM-2ND-ADULT-DOMESTIC,5520,DR MARTIN LUTHER KIN,884938.4,1032321
2013,01/11/2013 13:56,41012,AGG.ASSAULT-FIREARM/CITIZEN ADULT 2ND DEGREE,5520,DR MARTIN LUTHER KIN,884938.4,1032321
2013,01/11/2013 15:10,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,8703,N BROADWAY,897469.5,1051565
2013,01/11/2013 17:40,41016,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,2815,MCNAIR AVE,900082.3,1008080
2013,01/11/2013 17:50,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,0,E GRAND BLVD / W FLO,902675.7,1032609
2013,01/11/2013 18:00,21000,RAPE -- FORCIBLE,4200,DELOR ST,887366,1000442
2013,01/11/2013 19:03,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,S BROADWAY / GASCONA,898037.7,1000512
2013,01/11/2013 22:32,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1916,SERBIAN DR,901119.5,1011518
2013,01/11/2013 23:22,31422,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT,1111,ALLEN AVE,903525.1,1010571
2013,01/12/2013 01:25,43012,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,8370,N BROADWAY,897449.1,1049251
2013,01/12/2013 01:26,42016,ASSLT-AGGRV-KNIFE/CUT-3RD-ADULT-DOMESTIC,1629,COLE ST,905664.1,1021110
2013,01/12/2013 01:26,42016,ASSLT-AGGRV-KNIFE/CUT-3RD-ADULT-DOMESTIC,1629,COLE ST,905664.1,1021110
2013,01/12/2013 01:45,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,3112,OLIVE ST,899009.4,1020191
2013,01/12/2013 04:35,10000,HOMICIDE,5550,PARTRIDGE AVE,891732.7,1045697
2013,01/12/2013 08:15,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,3139,S GRAND BLVD,893723,1007999
2013,01/12/2013 09:50,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,3710,WINNEBAGO ST,892479.1,1003855
2013,01/12/2013 10:00,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3700,COZENS AVE,897702.3,1024947
2013,01/12/2013 12:45,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4330,SHREVE AVE,894529,1036958
2013,01/12/2013 13:25,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,250,DE BALIVIERE AVE,881576.8,1024883
2013,01/12/2013 14:00,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,7600,HALL ST,899461.2,1045874
2013,01/12/2013 14:45,31112,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,1528,DICK GREGORY PL,890841.9,1029247
2013,01/12/2013 17:15,42013,AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE,4600,CARRIE AVE,897764,1036564
